GeneSymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
CXorf49	1.8573555712	4.3931557226	6.5689071241	4.67E-007	0.0035876411	6.1158316706
CNBD1	1.8014039477	5.5563516662	5.5883175499	6.19E-006	0.0098698406	3.8392568011
FAM78B	1.542506387	4.8705336076	5.5815878803	6.30E-006	0.0098698406	3.8232845117
SSX4B	1.389175856	4.0986925299	5.5741999827	6.42E-006	0.0098698406	3.8057456283
LOC285500	1.3592124765	2.7854126973	5.3860056616	1.06E-005	0.0136156915	3.3575354132
GAGE12G	2.2017007416	7.3833285423	5.2498880695	1.53E-005	0.0168215325	3.0318326376
GAGE2A	2.0296072614	7.3886268658	5.1503993739	2.00E-005	0.0174632522	2.7931153826
GAGE12C	2.0315973222	7.1530671026	5.033062481	2.75E-005	0.0187443886	2.5110000511
GAGE12G	1.9621164895	7.1447541548	4.9609843938	3.34E-005	0.0187443886	2.3374616577
SULT1C4	-1.2413362279	5.7083069581	-4.9499283348	3.44E-005	0.0187443886	2.3108297578
PRKCA	1.1645762838	5.3579613852	4.9326338064	3.60E-005	0.0187443886	2.2691646531
CECR7	1.2302460811	3.2704103007	4.9266179698	3.66E-005	0.0187443886	2.2546699934
GAGE13	2.0697480147	7.1956643721	4.8086518583	5.03E-005	0.0226944681	1.9703120592
GAGE12H	1.931375865	6.9351669075	4.7738429015	5.52E-005	0.0226944681	1.8863747586
GAGE12J	1.8528572293	6.9035390734	4.7488807661	5.91E-005	0.0226944681	1.8261786736
PDLIM3	1.1874864005	3.8792771148	4.7435698913	5.99E-005	0.0226944681	1.8133714004
SSX4	1.2721804426	3.7414196559	4.7382264511	6.08E-005	0.0226944681	1.8004855947
SPZ1	1.2390463314	2.8347230654	4.7307953298	6.20E-005	0.0226944681	1.782565342
RBMS3	1.242759673	6.0100072456	4.6987765272	6.76E-005	0.0236142947	1.705353211
PROSER2-AS1	1.3600869223	4.8091591211	4.6415886518	7.89E-005	0.0249218036	1.5674640399
LOC100507351	1.0782890661	3.6350048873	4.6380395311	7.96E-005	0.0249218036	1.5589076994
RGAG4	1.0761777574	5.2544120678	4.6312911745	8.11E-005	0.0249218036	1.5426390099
TENM1	1.5769129678	5.1017469762	4.5277610283	0.0001071419	0.031660445	1.2931598848
SLC17A8	-1.0520252846	5.5925762578	-4.4490731299	0.0001323697	0.037606823	1.1037411202
CSAG2	0.9429914553	6.6070182844	4.4361197528	0.0001370547	0.037606823	1.072581356
RYR2	1.3562461286	5.0493189195	4.3808436882	0.0001589683	0.042115648	0.9396958099
LOC100505938	1.1400229271	4.8360501741	4.3614201768	0.0001674669	0.042888274	0.8930360446
GABRA3	1.2484965682	5.2531659778	4.3248345487	0.0001847166	0.0452006133	0.8052041252
SYNPO2	1.7222153802	5.5454137126	4.3177354407	0.0001882623	0.0452006133	0.7881699998
POU2F3	1.147572195	4.0488126687	4.2980697485	0.0001984407	0.0462005987	0.7409985797
SEZ6L	1.170009589	3.6228814796	4.2577868581	0.0002210223	0.0490702368	0.6444505832
NEUROD4	1.0091050111	2.8503539157	4.2535506091	0.0002235401	0.0490702368	0.6343037038
MXRA8	-0.8781802982	6.9817832176	-4.2331434975	0.0002360722	0.0503817339	0.5854413508
OTTHUMG00000168357	0.9360603719	3.6418148928	4.2217638405	0.0002433598	0.0505333342	0.5582072973
CTCFL	1.865524847	4.7496637269	4.1965232518	0.0002603277	0.0514678364	0.4978359921
NTRK3	1.1856643767	3.6806136859	4.191268367	0.0002640048	0.0514678364	0.485273438
RIMBP3C	-0.7713878734	4.6338213095	-4.1857003031	0.000267957	0.0514678364	0.4719645979
KCND2	1.2212990124	3.8812454649	4.1694801992	0.0002798063	0.0524329799	0.4332095683
KCNH1	0.912074094	6.1887526105	4.1536120251	0.0002918992	0.05318764	0.3953167197
TEX14	0.8431759787	3.6801108834	4.1462557731	0.0002976791	0.05318764	0.3777574905
NKAIN3	1.0884009813	3.4745405298	4.1243266395	0.000315588	0.0551059687	0.3254414784
SYTL4	1.2088480155	6.3425160749	4.1039487998	0.0003331814	0.0568851722	0.2768657044
RTL1	1.6544352806	5.2798529726	4.062769255	0.0003717399	0.0620886368	0.1788254998
MIR27B	0.8788092472	5.0618184057	4.0311533132	0.0004042991	0.0644582931	0.1036710611
RFTN1	0.8734225517	4.7875311091	4.0258192736	0.0004100627	0.0644582931	0.0910019351
CEACAM19	0.7697327972	4.1498276925	4.0248700693	0.0004110968	0.0644582931	0.0887477586
OTTHUMG00000172468	0.865978194	3.3145233459	4.0155703326	0.000421365	0.0647469479	0.0666678896
SPON1	0.7768732636	3.6574663767	4.0069298313	0.0004311315	0.0649486955	0.0461617604
MYH15	0.9521348634	3.5838412744	3.9940218445	0.0004461382	0.0659169183	0.0155433956
LURAP1L	1.1499941015	4.0233173936	3.9845865816	0.0004574316	0.0663103271	-0.0068254785
LITAF	0.8059731343	4.1358616278	3.9748968093	0.0004693225	0.0667741608	-0.0297869887
SNX18	0.7347993515	4.66306888	3.9282986009	0.0005308881	0.0741602375	-0.1400517316
RNA5-8SP4	-0.7722393344	3.8758845939	-3.9177484249	0.0005458928	0.0746488939	-0.164979062
PCDHB12	0.8648031811	5.3887962316	3.9122902041	0.0005538184	0.0746488939	-0.1778698307
APOBEC3C	-1.0407346326	4.3626526611	-3.8651586972	0.0006271262	0.082538503	-0.2890175472
ZNF536	0.9021673159	3.1397718533	3.859602624	0.000636372	0.082538503	-0.3021002871
ZNF92	-0.8443344621	5.9162245325	-3.8490521205	0.0006542986	0.082538503	-0.3269314162
SHC3	0.8242694598	4.9130516105	3.8428018222	0.0006651513	0.082538503	-0.3416343936
OTTHUMG00000015769	1.3671079435	6.0196638986	3.8422794219	0.0006660663	0.082538503	-0.3428630176
TREX2	-1.0886720078	3.8021920407	-3.8314379689	0.0006853368	0.0835784572	-0.3683520136
OTTHUMG00000151498	0.8066511074	5.0639870052	3.8246588281	0.0006976633	0.0837522989	-0.384281606
SNORD114-12	1.5019024978	4.4641200476	3.8014777876	0.0007414774	0.0876426316	-0.4387012084
SORBS2	0.8274513416	4.2732979167	3.7917610013	0.0007606346	0.0881526364	-0.4614883179
NRG1-IT2	1.1970695459	3.2797051253	3.787722003	0.0007687396	0.0881526364	-0.4709560599
OTTHUMG00000162778	1.6735257363	5.9900782142	3.7745445143	0.0007957751	0.0899108828	-0.501827711
LOC100130673	0.7378702071	3.8423034405	3.7534453579	0.0008410125	0.0936449118	-0.5512013296
OTTHUMG00000158944	1.056266285	4.8634827187	3.7452962723	0.0008591499	0.0938973273	-0.5702518242
ADCY8	1.3138136804	3.7242827881	3.7369893628	0.0008780321	0.0938973273	-0.589660214
HIST1H2BL	-0.810601173	5.9999582256	-3.7356142053	0.0008811969	0.0938973273	-0.5928720678
ZNF626	0.8148212621	4.4067654688	3.7282355549	0.0008983693	0.0938973273	-0.6101005371
